Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
96,My Place,Everyday of My Life,The Augustine Twins,$19.03,The Augustine Twins (Don & Ron)* – Everyday Of My Life / My Place,https://www.discogs.com/release/5796659-The-Augustine-Twins-Don-Ron-Everyday-Of-My-Life-My-Place
97,Lickin Stick,So Long Goodbye,George Torrence and the Naturals,$1.50,George Torrence And The Naturals (29) – Lickin' Stick / So Long Goodbye,https://www.discogs.com/master/367104-George-Torrence-And-The-Naturals-Lickin-Stick-So-Long-Goodbye
98,He Will Break Your Heart,"Oh, How I Wish She Were Mine",Timothy Wilson,$130.00,Timothy Wilson – He Will Break Your Heart / Oh- How I Wish She Were Mine,https://www.discogs.com/release/7865784-Timothy-Wilson-He-Will-Break-Your-Heart-Oh-How-I-Wish-She-Were-Mine
99,4 Steps to Love,Image of a Girl,Safaris,$0.40,Safaris* With The Phantom's Band – Image Of A Girl,https://www.discogs.com/release/1554272-Safaris-With-The-Phantoms-Band-Image-Of-A-Girl
100,Stormy,24 Hours of Loneliness,Classics IV,$0.35,Classics IV* Featuring Dennis Yost – Stormy / 24 Hours Of Loneliness,https://www.discogs.com/master/346189-Classics-IV-Featuring-Dennis-Yost-Stormy-24-Hours-Of-Loneliness
101,You'll Soon Be Gone,If This is Love,The Precisions,$13.04,The Precisions – If This Is Love (I'd Rather Be Lonely),https://www.discogs.com/master/378219-The-Precisions-If-This-Is-Love-Id-Rather-Be-Lonely
102,Lovely Dee,You're On Top,The Untouchables,$1.00,The Untouchables (9) – You're On Top / Lovely Dee,https://www.discogs.com/master/1169158-The-Untouchables-Youre-On-Top-Lovely-Dee
103,Heartbreak Road,The Man in You,The Miracles,$1.00,The Miracles – (You Can't Let The Boy Overpower) The Man In You,https://www.discogs.com/master/710315-The-Miracles-You-Cant-Let-The-Boy-Overpower-The-Man-In-You
104,Funky Broadway Part 1,Funky Broadway Part 2,Dyke and the Blazers,$9.99,Dyke And The Blazers* – The Funky Broadway,https://www.discogs.com/master/207295-Dyke-And-The-Blazers-The-Funky-Broadway
105,How Does it Feel,Crack Up Laughing,The O'Jays,$1.99,The O'Jays – How Does It Feel / Crack Up Laughing,https://www.discogs.com/master/631990-The-OJays-How-Does-It-Feel-Crack-Up-Laughing
106,Country Fool,It Will Stand,The Showmen,$1.00,The Showmen – It Will Stand / Country Fool,https://www.discogs.com/master/518497-The-Showmen-It-Will-Stand-Country-Fool
